#,Código,Categoría,Título,Descripción,Dimensiones,Specs clave,PVP estimado (€),Confianza precio,Página catálogo,Imagen,Footprint uso m² *,Altura mín m *,Espacio ok,Plegable,Ruido,Objetivos,Grupos musculares,Impacto articular,Nivel recomendado,Intensidad soportada *,Peso máx usuario (kg),Rol en setup,Combina con
1,G799,Cardio - Cinta de correr,SK Line G799 Treadmill,"Cinta de correr SK Line con motor silencioso, sistema de amortiguación multipunto y programas integrados. Línea ligera ideal para uso doméstico intensivo.",200 x 85 x 140 cm aprox.,Motor AC ~3HP · Velocidad 0-20 km/h · Inclinación 0-15% · 25 programas · Monitor DOT MATRIX o Smart Focus táctil · Bluetooth/USB,"1,850 €",Media,16,,3.5,2.2,habitación/garaje/salón,No,Medio,pérdida peso | salud general | funcional,tren inferior | cardiovascular,Alto,Princ/Interm/Avanz,Doméstica intensiva,150,Esencial cardio,"R250, H945BM, VF97660"
2,G930,Cardio - Elíptica,SK Line G930 Elíptica,Elíptica con bastones móviles para entrenamiento de tren superior e inferior. Transmisión por correa silenciosa.,200 x 70 x 165 cm aprox.,25 niveles de resistencia · 24 programas · Zancada ~50 cm · Virtual Active · TV/Internet opcional,"1,500 €",Media,16,,3,2.3,habitación/garaje/salón,No,Bajo,pérdida peso | salud general | funcional,tren inferior+superior | cardiovascular,Bajo,Princ/Interm/Avanz,Doméstica intensiva,150,Complementario,"H895, PL090"
3,H800,Cardio - Bici vertical,SK Line H800 Upright Bike,Bicicleta vertical con sillín ergonómico y pedales autonivelantes. Monitor con programas integrados.,120 x 60 x 140 cm aprox.,25 niveles · 24 programas · Virtual Active · Bluetooth · Peso máx. usuario 150 kg,"1,350 €",Media,17,,1.5,1.5,habitación/salón,No,Bajo,pérdida peso | salud general,tren inferior | cardiovascular,Bajo,Princ/Interm,Doméstica intensiva,150,Complementario,"PL090, IR97510"
4,H895,Cardio - Bici reclinada,SK Line H895 Recumbent Bike,"Bicicleta reclinada con asiento ajustable y respaldo lumbar. Acceso fácil, ideal para rehabilitación o usuarios seniors.",160 x 65 x 130 cm aprox.,25 niveles · 24 programas · Asiento regulable · Virtual Active,"1,550 €",Media,17,,2.2,1.4,habitación/salón,No,Bajo,rehabilitación | salud general | pérdida peso,tren inferior | cardiovascular,Bajo,Princ/Interm,Doméstica intensiva,150,Complementario,"PL070, VF97660"
5,R250,Cardio - Remo,SK Line R250 Rower,Remo con transmisión por correa y resistencia electromagnética. Plegable para ahorro de espacio.,215 x 55 x 90 cm aprox.,10 niveles de resistencia · Monitor LED/Smart Focus · Plegable,"1,350 €",Media,18,,3,1.2,habitación/garaje/salón,Sí,Bajo,pérdida peso | funcional | salud general,full-body | cardiovascular,Bajo,Princ/Interm/Avanz,Doméstica intensiva,140,Complementario,"G799, VF97660"
6,G620,Cardio - Cinta de correr,LK Line G620 Treadmill,Cinta de correr línea LK con amortiguación Pro-Tonic 10 puntos. Cubierta fenólica HST de bajo mantenimiento.,205 x 84 x 142 cm,Motor AC · 0-22 km/h · Inclinación 0-15% · 24 programas · Virtual Active,"2,650 €",Media,20,,3.8,2.3,garaje/salón,No,Medio,pérdida peso | salud general | funcional,tren inferior | cardiovascular,Alto,Princ/Interm/Avanz,Semi-pro,160,Esencial cardio,"R900, H945BM"
7,G815,Cardio - Elíptica,LK Line G815 Elíptica,"Elíptica LK con bastones móviles, volante frontal y transmisión por correa.",200 x 70 x 165 cm aprox.,25 niveles · 24 programas · Virtual Active · TV/Internet opcional,"2,050 €",Media,21,,3.2,2.3,garaje/salón,No,Bajo,pérdida peso | salud general | funcional,tren inferior+superior | cardiovascular,Bajo,Princ/Interm/Avanz,Semi-pro,150,Complementario,"H775, PL090"
8,H720,Cardio - Bici vertical,LK Line H720 Upright Bike,Bici vertical de cuadro abierto para acceso fácil. Resistencia electromagnética.,120 x 60 x 140 cm aprox.,25 niveles · 24 programas · Virtual Active,"1,650 €",Media,22,,1.6,1.5,habitación/salón,No,Bajo,pérdida peso | salud general,tren inferior | cardiovascular,Bajo,Princ/Interm,Semi-pro,150,Complementario,PL090
9,H775,Cardio - Bici reclinada,LK Line H775 Recumbent Bike,"Bici reclinada LK con asiento ajustable, respaldo y pedales sobredimensionados.",160 x 65 x 130 cm aprox.,25 niveles · 24 programas · Peso máx. usuario 150 kg,"1,850 €",Media,23,,2.3,1.4,habitación/salón,No,Bajo,rehabilitación | salud general | pérdida peso,tren inferior | cardiovascular,Bajo,Princ/Interm,Semi-pro,150,Complementario,PL070
10,R900,Cardio - Remo,LK Line R900 Rower,"Remo con motor AC 2CV, 20 niveles de resistencia y monitor LED.",215 x 55 x 90 cm aprox.,20 niveles · 20 programas · Monitor LED,"1,900 €",Media,23,,3,1.2,habitación/garaje/salón,Sí,Bajo,pérdida peso | funcional,full-body | cardiovascular,Bajo,Princ/Interm/Avanz,Semi-pro,140,Complementario,G620
